species,decimalLatitude,decimalLongitude,eventDate,parsed_date,temperature_max_C,temperature_min_C,temperature_mean_C,precipitation_mm,rain_mm,precipitation_hours,windspeed_max_kmh,windgusts_max_kmh,sunshine_duration_s
Mikania micrantha,1.2,110.3,2004-11-29T00:00,2004-11-29,26.5,21.2,23.1,10.3,10.3,14.0,7.8,27.7,20290.2
Mikania micrantha,19.17545,99.033575,2019-12-18T00:00,2019-12-18,30.3,15.8,22.4,0.0,0.0,0.0,9.3,22.0,36201.63
Mikania micrantha,14.625382,121.124485,2024-12-13T15:15:19,2024-12-13,31.0,24.5,27.2,0.3,0.3,3.0,8.6,28.1,36000.0
Mikania micrantha,3.722688,101.750479,2025-10-19T23:22,2025-10-19,25.0,18.3,20.3,9.7,9.7,16.0,6.7,25.6,27721.34
Mikania micrantha,14.558721,121.136197,2025-01-09T12:31:37,2025-01-09,29.8,23.4,26.2,0.1,0.1,1.0,13.8,37.1,36391.6
Mikania micrantha,14.558721,121.136197,2024-12-06T10:21:27,2024-12-06,32.1,24.6,27.7,0.3,0.3,2.0,8.6,23.0,37785.8
Mikania micrantha,14.558721,121.136197,2024-11-20T09:31:35,2024-11-20,33.2,23.3,27.9,0.0,0.0,0.0,10.3,27.4,38328.47
Mikania micrantha,14.791045,120.239733,2024-11-30T13:38:30,2024-11-30,31.4,25.4,28.1,0.1,0.1,1.0,24.2,59.4,31362.35
Mikania micrantha,14.558555,121.136082,2023-12-05T12:21,2023-12-05,31.3,24.3,27.6,2.3,2.3,8.0,6.1,21.2,37776.73
Mikania micrantha,14.151306,120.966843,2025-11-16T16:42:48,2025-11-16,25.9,21.4,23.2,1.8,1.8,10.0,27.2,53.6,38457.21
Mikania micrantha,14.064802,121.460724,2015-06-20,2015-06-20,24.4,19.6,21.1,21.0,21.0,10.0,6.6,22.7,31706.73
Mikania micrantha,3.715249,101.749824,2025-10-18T13:28,2025-10-18,23.5,16.9,18.9,11.8,11.8,20.0,8.2,25.6,30136.67
Mikania micrantha,12.000731,120.194695,2024-11-10T16:29:15,2024-11-10,30.9,25.3,27.9,0.6,0.6,4.0,13.2,28.8,38619.35
Mikania micrantha,-1.043621,119.854942,2025-10-05T08:18,2025-10-05,28.5,22.2,24.5,8.1,8.1,11.0,8.3,28.4,34656.02
Mikania micrantha,-1.043051,119.853514,2025-10-05T07:28,2025-10-05,28.1,21.8,24.2,8.1,8.1,11.0,8.3,28.4,34656.02
Mikania micrantha,-1.043184,119.853318,2025-10-05T07:19,2025-10-05,28.1,21.8,24.2,8.1,8.1,11.0,8.3,28.4,34656.02
Mikania micrantha,0.331174,102.724104,2025-09-11T11:37:33,2025-09-11,30.7,22.9,25.0,23.0,23.0,15.0,15.9,32.4,18250.0
Mikania micrantha,8.118933,98.62188,2025-09-30T17:09:41,2025-09-30,28.2,24.1,26.6,5.5,5.5,8.0,15.3,40.7,34368.07
Mikania micrantha,0.331313,102.724207,2025-09-04T17:42:52,2025-09-04,31.7,22.8,26.0,19.0,19.0,17.0,12.3,31.7,30401.66
Mikania micrantha,8.119949,98.623829,2025-09-26T11:30:50,2025-09-26,29.4,27.8,28.7,0.7,0.7,6.0,18.8,41.0,35509.05
Mikania micrantha,8.118856,98.621795,2025-09-24T08:05:10,2025-09-24,31.1,27.0,29.1,0.3,0.3,1.0,27.8,60.8,34434.89
Mikania micrantha,8.12062,98.624205,2025-09-27T02:09:10,2025-09-27,30.5,26.7,28.0,1.2,1.2,6.0,23.6,52.9,30677.51
Mikania micrantha,-2.149609,121.231828,2025-03-09T14:38,2025-03-09,31.8,21.9,26.4,3.2,3.2,9.0,9.2,22.7,41263.32
Mikania micrantha,8.119409,98.624113,2025-09-25T15:53:03,2025-09-25,31.1,28.3,29.3,0.8,0.8,4.0,26.8,62.6,39919.06
Mikania micrantha,8.120339,98.625175,2025-09-30T19:12,2025-09-30,28.2,24.0,26.6,5.5,5.5,8.0,15.3,40.7,34368.07
Mikania micrantha,8.121362,98.625109,2025-09-29T17:31:32,2025-09-29,27.9,24.4,25.3,47.0,47.0,22.0,29.7,52.2,0.0
Mikania micrantha,8.118325,98.62113,2025-09-30T07:46:30,2025-09-30,28.2,24.1,26.6,5.5,5.5,8.0,15.3,40.7,34368.07
Mikania micrantha,8.118486,98.621313,2025-09-25T14:37:41,2025-09-25,31.0,28.1,29.2,0.8,0.8,4.0,26.8,62.6,39919.06
Mikania micrantha,8.117431,98.621058,2025-09-27T10:39:50,2025-09-27,30.4,26.6,27.9,1.2,1.2,6.0,23.6,52.9,30677.51
Mikania micrantha,-2.968494,119.904905,2023-12-24T08:07,2023-12-24,27.3,18.6,21.8,12.6,12.6,7.0,10.0,28.1,28008.94
Mikania micrantha,-1.900175,120.844767,2025-03-06T09:57,2025-03-06,29.4,20.4,23.2,30.7,30.7,13.0,7.7,21.6,27371.37
Mikania micrantha,-1.900026,120.844619,2025-03-06T10:00,2025-03-06,29.4,20.4,23.2,30.7,30.7,13.0,7.7,21.6,27371.37
Mikania micrantha,8.120339,98.625175,2025-09-30T11:04:16,2025-09-30,28.2,24.0,26.6,5.5,5.5,8.0,15.3,40.7,34368.07
Mikania micrantha,4.539048,101.15437,2022-07-25/2022-08-10,2022-07-25,28.1,23.3,25.5,20.5,20.5,14.0,12.2,27.4,31910.02
Mikania micrantha,-8.020069,112.718956,2024-01-17T17:23,2024-01-17,27.6,21.2,24.0,4.1,4.1,13.0,11.9,27.0,23963.26
Mikania micrantha,-8.017078,112.702789,2024-01-19T11:14,2024-01-19,25.2,20.9,22.5,9.9,9.9,22.0,17.8,43.9,27040.49
Mikania micrantha,-8.018008,112.701906,2024-01-19T11:11,2024-01-19,25.2,20.9,22.5,9.9,9.9,22.0,17.8,43.9,27040.49
Mikania micrantha,-8.016544,112.702867,2024-01-19T12:37,2024-01-19,25.2,20.9,22.4,9.9,9.9,22.0,17.8,43.9,27040.49
Mikania micrantha,10.903095,123.06096,2021-05-04T09:04:25,2021-05-04,30.6,25.6,28.0,2.6,2.6,15.0,26.3,52.2,40857.16
Mikania micrantha,14.638722,121.075094,2025-02-17T09:55:32,2025-02-17,31.5,23.2,26.9,1.1,1.1,4.0,6.1,24.5,38813.64
Mikania micrantha,-8.585117,115.255203,2024-01-11T15:21,2024-01-11,32.3,24.2,27.7,0.2,0.2,2.0,18.8,38.2,41076.24
Mikania micrantha,11.2616,124.4347,2025-07-04T12:37:56,2025-07-04,31.0,23.6,27.1,0.0,0.0,0.0,9.3,19.8,36607.41
Mikania micrantha,10.616028,122.978473,2021-04-19T18:54,2021-04-19,28.6,25.3,26.5,10.9,10.9,17.0,21.4,43.9,0.0
Mikania micrantha,-8.449123,115.336582,2019-08-24T15:00,2019-08-24,22.5,19.9,20.9,21.3,21.3,24.0,13.0,32.4,15471.45
Mikania micrantha,10.145192,118.867958,2025-01-21T16:09,2025-01-21,30.5,26.4,27.9,0.9,0.9,5.0,17.4,42.5,37301.19
Mikania micrantha,-8.495557,115.261589,2025-05-16T10:08:37,2025-05-16,28.8,22.8,25.2,15.0,15.0,9.0,10.5,27.4,29707.33
Mikania micrantha,-8.330392,115.208267,2024-01-05T13:44,2024-01-05,22.9,19.2,20.8,19.9,19.9,11.0,8.1,22.0,20392.45
Mikania micrantha,14.638692,121.075443,2025-02-17T09:59:15,2025-02-17,31.5,23.2,26.9,1.1,1.1,4.0,6.1,24.5,38813.64
Mikania micrantha,7.4353,125.801942,2022-05-01T09:46:11,2022-05-01,29.8,23.6,25.9,8.5,8.5,16.0,13.8,32.0,23204.63
Mikania micrantha,10.026597,122.767335,2021-05-02T16:54:48,2021-05-02,31.0,24.7,28.3,1.1,1.1,8.0,12.6,39.2,41748.25
Mikania micrantha,10.614325,122.972983,2021-04-20T07:57Z,2021-04-20,28.0,24.9,25.9,20.9,20.9,23.0,22.5,43.2,10522.13
Mikania micrantha,7.075906,125.524514,2022-04-29T11:11:54,2022-04-29,30.4,24.3,26.5,15.1,15.1,18.0,10.8,23.0,28800.0
Mikania micrantha,14.586432,121.162369,2021-04-16T08:45,2021-04-16,33.7,23.3,27.9,0.2,0.2,2.0,13.9,31.3,42383.34
Mikania micrantha,-8.257349,115.140977,2019-08-31T13:39,2019-08-31,21.7,13.3,16.5,0.2,0.2,2.0,9.7,37.4,39575.94
Mikania micrantha,11.526788,122.732254,2021-03-07T07:47:40,2021-03-07,27.1,23.6,25.3,1.7,1.7,10.0,23.8,47.2,40634.16
