species,decimalLatitude,decimalLongitude,eventDate,parsed_date,temperature_max_C,temperature_min_C,temperature_mean_C,precipitation_mm,rain_mm,precipitation_hours,windspeed_max_kmh,windgusts_max_kmh,sunshine_duration_s,presence
Mikania micrantha,22.918002922965876,93.28608219341639,,,23.42059920306136,11.427708897157457,19.20840956051159,29.153402952585584,29.153402952585584,12.78856972209739,32.673476726710504,49.010215090065756,11629.56511393766,0
Mikania micrantha,0.02,100.08,1995-11-04,1995-11-04,27.6,22.3,23.8,15.3,15.3,22.0,5.1,34.2,18000.0,1
Mikania micrantha,-0.55,100.33,1992-12-20,1992-12-20,25.6,22.9,24.0,35.1,35.1,19.0,4.5,20.2,2087.78,1
Mikania micrantha,-7.627512,110.408646,2019-05-12T08:26:12,2019-05-12,26.4,20.8,22.7,4.4,4.4,13.0,10.0,24.8,39456.32,1
Mikania micrantha,15.432467,121.086445,2024-07-16T11:15:02,2024-07-16,30.4,24.6,27.4,0.1,0.1,1.0,24.4,45.4,37755.22,1
Mikania micrantha,10.713303,99.317604,2024-03-25T17:09:10,2024-03-25,33.0,26.4,29.3,0.0,0.0,0.0,17.7,36.0,39600.0,1
Mikania micrantha,20.583065811659587,121.80198467550795,,,19.581493656419806,12.534611409813966,15.5276412041444,28.633294357572915,28.633294357572915,11.720709364079617,25.142287211974875,37.71343081796231,14012.497793720575,0
Mikania micrantha,-0.9599,100.4521,2003-05-24,2003-05-24,28.9,22.6,26.1,0.2,0.2,2.0,7.1,22.3,40891.29,1
Mikania micrantha,17.88916876300113,118.01343556128451,,,31.053643103275114,18.23052393418671,23.106714491375552,24.071606805851715,24.071606805851715,10.862715630086186,5.285637550506496,7.928456325759743,7032.047326574387,0
Mikania micrantha,1.5550907299172128,114.42784806124111,,,25.460755224369763,15.78532229842633,18.819766273498416,0.0,0.0,2.403648053676629,34.70316175091847,52.0547426263777,23349.979745406614,0
Mikania micrantha,20.514332809027543,112.69681386131404,,,39.446994012146305,29.965485619091567,32.09790094405838,29.572669401979176,29.572669401979176,12.225728012505957,11.493234061345621,17.239851092018434,17560.55480976818,0
Mikania micrantha,-2.7972413925490365,119.9474314241529,,,25.04680359757172,15.323342609314214,22.874985141561062,22.183493298317376,22.183493298317376,20.343392352009655,20.327509131931357,30.491263697897036,17779.587339690126,0
Mikania micrantha,6.839486,125.397493,2021-02-28T13:38:26,2021-02-28,30.1,24.3,26.7,1.0,1.0,6.0,20.7,40.3,40706.29,1
Mikania micrantha,8.598945,98.677749,2024-02-20T12:48,2024-02-20,33.8,23.5,26.4,7.4,7.4,4.0,15.5,34.6,33231.3,1
Mikania micrantha,21.96287149122793,110.93508668990265,,,32.37376651737733,26.090910850161517,28.361051776075776,3.3384252854930945,3.3384252854930945,23.534100294660643,31.63873845209114,47.45810767813671,9178.597357166613,0
Mikania micrantha,-0.41,100.73,1990-05-06,1990-05-06,27.6,20.6,23.0,3.2,3.2,7.0,5.5,27.0,25640.93,1
Mikania micrantha,3.1356,101.657903,2019-04-29T23:34,2019-04-29,32.1,24.8,28.2,11.0,11.0,9.0,8.2,25.6,32626.4,1
Mikania micrantha,13.66068245013001,131.69347616291893,,,18.722471447820382,10.950448670722942,15.687297706664738,0.0,0.0,5.625698050359076,32.940215306188065,49.4103229592821,15996.468198923705,0
Mikania micrantha,-0.55,100.33,1995-05-06,1995-05-06,27.9,23.6,25.5,26.0,26.0,20.0,5.2,23.4,8420.82,1
Mikania micrantha,-12.87160128550863,131.6501450499915,,,25.32741989549661,12.414321697387091,20.294745822452885,28.817319814871844,28.817319814871844,2.4598810083998544,26.263743231836322,39.39561484775449,17467.964374569514,0
